Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
Aqgromalin,2019.0,Chennai,AgriTech,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000 ,Seed,,Chennai,India
Krayonnz,2019.0,Bangaluru,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000 ,Pre-Seed,,Bangaluru,India
PadCare Labs,2018.0,Pune,Hygiene management,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,,Pre-Seed,,Pune,India
NCOME,2020.0,New Delhi,Escrow,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000 ,Seed,,New Delhi,India
Gramophone,2016.0,Indore,AgriTech,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000 ,Seed,,Indore,India
qZense,2019.0,Bangaluru,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000 ,Seed,,Bangaluru,India
MyClassboard,2008.0,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000 ,Pre-Series A,,Hyderabad,India
Metvy,2018.0,Gurgaon,Networking,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,,Pre-Series,,Gurgaon,India
Rupeek,2015.0,Bangaluru,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000 ,Series C,,Bangaluru,India
Gig India,2017.0,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000 ,Pre-Series A,,Pune,India
Slurrp Farm,2016.0,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000 ,Series A,,Gurgaon,India
Medfin,2017.0,Bangaluru,HealthTech,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",,Series A,,Bangaluru,India
MasterG,2015.0,New Delhi,Fashion,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,,Seed,,New Delhi,India
Brila 91,2014.0,New Delhi,Food & Bevarages,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000 ,Seed,,New Delhi,India
FoodyBuddy,2015.0,Belgaum,Food Industry,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000 ,Seed,,Belgaum,India
Zomato,2008.0,Gurgaon,Food Delivery,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000 ,Seed,,Gurgaon,India
OurEye.ai,2020.0,Bangaluru,Virtual auditing,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000 ,Seed,,Bangaluru,India
Shiprocket,2017.0,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000 ,Series C,,New Delhi,India
Pine Labs,1998.0,Noida,FinTech,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",,Seed,,Noida,India
Moneyboxx Finance,2019.0,New Delhi,FinTech,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000 ,Seed,,New Delhi,India
EWar,2019.0,Bangaluru,Gaming,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",,Pre-Series A,,Bangaluru,India
SucSEED Indovation,2016.0,Hyderabad,FinTech,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,Undisclosed,5000000 ,Seed,,Hyderabad,India
TaxBuddy.com,2019.0,Mumbai,FinTech,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000 ,Seed,,Mumbai,India
Awign Enterprises,2016.0,Bangaluru,Work fulfillment,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000 ,Seed,,Bangaluru,India
Circle of Angels,2018.0,Gurgaon,FinTech,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,Undisclosed,3000000 ,Seed,,Gurgaon,India
CoinDCX,2017.0,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000 ,Series B,,Mumbai,India
Glance,2016.0,Bangaluru,AI,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000 ,Seed,,Bangaluru,India
VerSe Innovation,2007.0,Bangaluru,Telecommunication,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000 ,Seed,,Bangaluru,India
Voosh,2020.0,Bangaluru,Food Industry,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,,Pre-Seed,,Bangaluru,India
Delhivery,2011.0,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",,Seed,,Gurgaon,India
Arya,1982.0,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000 ,Series B,,Noida,India
Pickrr,2015.0,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000 ,Seed,,New Delhi,India
PhonePe,2015.0,Andheri,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000 ,Seed,,Andheri,India
Countingwell,2018.0,Bangaluru,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000 ,Pre-Series A,,Bangaluru,India
Callify.ai,2016.0,Mumbai,Tech,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000 ,Seed,,Mumbai,India
Hudle,2016.0,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,,Pre-Series A,,New Delhi,India
Cover it Up,2013.0,Chennai,E-commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000 ,Seed,,Chennai,India
BiteSpeed,2019.0,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000 ,Seed,,Gurgaon,India
WakeFit,2016.0,Bangaluru,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000 ,Series B,,Bangaluru,India
Sreyas Holistic Remedies,2008.0,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000 ,Seed,,Hyderabad,India
Fleeca India,2016.0,Jaipur,Tyre management,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,,Seed,,Jaipur,India
M1xchange,2017.0,Gurgaon,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000 ,Seed,,Gurgaon,India
Exotel,2011.0,Bangaluru,Cloud,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000 ,Seed,,Bangaluru,India
PagarBook,2019.0,Bangaluru,Software,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000 ,Series A,,Bangaluru,India
PointOne Capital,2020.0,Bangaluru,Venture capitalist,Pre-seed/Seed focussed VC investor,Mihir Jha,Undisclosed,,Seed,,Bangaluru,India
Ayana,2017.0,Bangaluru,Renewable player,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000 ,Seed,,Bangaluru,India
Fisdom,2015.0,Bangaluru,FinTech,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000 ,Seed,,Bangaluru,India
Tinker Coders,2020.0,Noida,EdTech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,,Seed,,Noida,India
Infinite Uptime,2015.0,Pune,IoT,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000 ,Series B,,Pune,India
HappyLocate,2016.0,Bangaluru,SaaS,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000 ,Pre-Series A,,Bangaluru,India
PhonePe,2015.0,New Delhi,FinTech,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000 ,Seed,,New Delhi,India
Loop Health,2017.0,Pune,HealthTech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000 ,Seed,,Pune,India
NeoDocs,2020.0,Mumbai,HealthTech,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,,Pre-Seed,,Mumbai,India
The ePlane,2016.0,Chennai,Aero,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,,Seed,,Chennai,India
TagMango,2019.0,Mumbai,Marketing,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000 ,Seed,,Mumbai,India
The New Shop,2019.0,New Delhi,Retail,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000 ,Seed,,New Delhi,India
MobiKwik,2009.0,Gurgaon,FinTech,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000 ,Seed,,Gurgaon,India
DebugsBunny,2020.0,Pune,EdTech,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000 ,Seed,,Pune,India
BHIVE Investech,2014.0,Bangaluru,Co-working,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000 ,Seed,,Bangaluru,India
Rivigo,2014.0,Gurgaon,Logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000 ,Seed,,Gurgaon,India
ZipLoan,2015.0,New Delhi,Finance,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000 ,Seed,,New Delhi,India
Swipez,2014.0,Pune,FinTech,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",,Seed,,Pune,India
Humus,2019.0,Bangaluru,AgriTech,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",,Seed,,Bangaluru,India
Artivatic.ai,2017.0,Bangaluru,Tech,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",,Seed,,Bangaluru,India
Prescinto,2016.0,Ahmedabad,Solar Monitoring,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",,Seed,,Ahmedabad,India
Toppeq,2019.0,Mumbai,SaaS,SaaS-based equity management platform,Nandini Sankar,Undisclosed,,Seed,,Mumbai,India
Bolo Indya,2019.0,Gurgaon,Video sharing,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000 ,Seed,,Gurgaon,India
Bombay Play,2017.0,Bangaluru,Gaming,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000 ,Seed,,Bangaluru,India
FreshToHome,2015.0,Bangaluru,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),,Seed,,Bangaluru,India
KIKO TV,2020.0,Mumbai,Video streaming,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",,Seed,,Mumbai,India
Atomberg Technologies,2012.0,Mumbai,Consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000 ,Series B,,Mumbai,India
DealShare,2018.0,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000 ,Series C,,Jaipur,India
Smallcase,2015.0,Bangaluru,FinTech,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",,Seed,,Bangaluru,India
CueMath,2011.0,Bangaluru,EdTech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000 ,Series C,,Bangaluru,India
Gamerji,2018.0,Ahmedabad,Gaming,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,,Seed,,Ahmedabad,India
5C Network,2014.0,Bangaluru,HealthTech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000 ,Pre-Series A,,Bangaluru,India
Ethereum Push Notification Service,2020.0,Mumbai,Blockchain,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000 ,Seed,,Mumbai,India
Mihup,2016.0,Kolkata,Conversational AI,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000 ,Series A,,Kolkata,India
RuralBasket,2019.0,Tirunelveli,E-commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000 ,Seed,,Tirunelveli,India
WayCool Foods,2015.0,Chennai,AgriTech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000 ,Debt,,Chennai,India
Infra.Market,2016.0,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000 ,Series B,,Thane,India
Info Edge Venture,1995.0,Noida,Venture capitalist,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000 ,Seed,,Noida,India
Clovia,2013.0,Noida,E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000 ,Pre-Series C,,Noida,India
Codingal,2020.0,Bangaluru,EdTech,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000 ,Seed,,Bangaluru,India
CRED,2018.0,Bangaluru,Finance,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000 ,Series C,,Bangaluru,India
Vistaar Finance,2010.0,Bangaluru,Finance,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,30000000 ,Seed,,Bangaluru,India
Let's Dive,2020.0,Bangaluru,SaaS,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000 ,Seed,,Bangaluru,India
Habitat,2016.0,Bangaluru,EdTech,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000 ,Seed,,Bangaluru,India
SAWO Labs,2020.0,Mumbai,SaaS,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000 ,Seed,,Mumbai,India
Signzy,2015.0,Bangaluru,AI,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000 ,Seed,,Bangaluru,India
KopyKitab,2013.0,Bangaluru,EdTech,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",,Seed,,Bangaluru,India
Kyt,2020.0,"Singapore, Singapore",EdTech,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000 ,Seed,,Singapore, Singapore
Raskik,2019.0,Bangaluru,Fusion beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000 ,Pre-Series A,,Bangaluru,India
GetWork,2019.0,Gurugram,HR Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000 ,Pre-Seed,,Gurugram,India
Mobile Premier League (MPL),2018.0,Bangaluru,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000 ,Series B,,Bangaluru,India
Pravasirojgar,2020.0,Bangaluru,Job portal,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,33000000 ,Seed,,Bangaluru,India
Omatra Hotels,2017.0,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,,Seed,,Kolkata,India
Awign,2016.0,Bangaluru,Job portal,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",,Pre-Series B,,Bangaluru,India
NewsReach,2018.0,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000 ,Seed,,Gujarat,India
Cashfree,2015.0,Bangaluru,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000 ,Series B,,Bangaluru,India
Credgenics,2018.0,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000 ,Pre-Series A,,New Delhi,India
GeoIQ,2018.0,Bangaluru,AI,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000 ,Seed,,Bangaluru,India
Country Delight,2015.0,Haryana,Dairy,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000 ,Series C,,Haryana,India
Quintype,2014.0,Bangaluru,Content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000 ,Series A,,Bangaluru,India
CARS24,2015.0,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000 ,Series E,,Haryana,India
Astrogate Labs,2017.0,Bangaluru,Spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,Undisclosed,"Venture Catalysts, Speciale Invest",,Seed,,Bangaluru,India
Power Gummies,2018.0,New Delhi,HealthTech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,,Bridge,,New Delhi,India
Cityflo,2015.0,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000 ,Series A,,Mumbai,India
AlgoBulls,2019.0,Mumbai,Trading,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000 ,Seed,,Mumbai,India
Credgenics,2018.0,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000 ,Pre-Series A,,Gurugram,India
Inntot,2014.0,Kerala,Tech,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,,Seed,,Kerala,India
Ensuredit,2019.0,Gurugram,FinTech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000 ,Pre-Series A,,Gurugram,India
Shipsy,2015.0,Gurugram,AI,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000 ,Series A,,Gurugram,India
ERPNext,2008.0,Mumbai,Tech,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000 ,Seed,,Mumbai,India
LightSpeedAI,2019.0,Bangaluru,Photonics,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",,Seed,,Bangaluru,India
Grip Invest,2020.0,Gurugram,FinTech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,,Pre-Series A,,Gurugram,India
Unacademy,2015.0,Bangaluru,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",,Seed,,Bangaluru,India
Yellow Classes,2020.0,Gurugram,EdTech,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000 ,Pre-Series A,,Gurugram,India
Plum,2019.0,Bangaluru,HealthTech,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000 ,Seed,,Bangaluru,India
STAGE,2019.0,Indore,Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000 ,Seed,,Indore,India
Nykaa,2012.0,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",,Seed,,Mumbai,India
Kaagaz Scanner,2020.0,Bangaluru,Scanning app,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000 ,Seed,,Bangaluru,India
NIRA,2017.0,Bangaluru,FinTech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000 ,Seed,,Bangaluru,India
Prolixr,2018.0,Gurugram,Skincare,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",,Seed,,Gurugram,India
Byju's,2011.0,Bangaluru,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000 ,Seed,,Bangaluru,India
DaMENSCH,2018.0,Bangaluru,E-commerce,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000 ,Seed,,Bangaluru,India
Country Delight,2015.0,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000 ,Series C,,Haryana,India
SignalX,2018.0,Hyderabad,AI,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000 ,Seed,,Hyderabad,India
Lancify,2018.0,Bangaluru,EdTech,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000 ,Seed,,Bangaluru,India
Krimanshi,2015.0,Jodhpur,Biotechnology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000 ,Seed,,Jodhpur,India
Instoried,2018.0,Bangaluru,AI,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000 ,Pre-Series A,,Bangaluru,India
PlayerzPot,2015.0,Mumbai,Gaming,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",Undisclosed,3000000 ,Series A,,Mumbai,India
