Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,Unnamed: 9,City,Country
CollegeKhabri,2019.0,Bhopal,Edtech,Platform is an end-to-end college and career counselling platform for students,Arshi Khan,Vishal Dixit,,Seed,,Bhopal,India
Ola Electric,2015.0,Bangaluru,eMobility,Electric vehicle,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,1000000 ,Seed,,Bangaluru,India
Multi Living,2015.0,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Pankaj Singh,Lodha Ventures,6000000 ,Seed,,Mumbai,India
FamPay,2015.0,Bangaluru,Fintech,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000 ,Seed,,Bangaluru,India
UnboxRobotics Labs,2015.0,Bangaluru,Automation,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO",500000 ,Seed,,Bangaluru,India
Karbon Card,2015.0,Bangaluru,Fintech,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000 ,Seed,,Bangaluru,India
Airmeet,2015.0,Bangaluru,Media & Networking,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups","Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,3000000 ,Seed,,Bangaluru,India
Innerchef,2015.0,Gurgaon,Foodtech,Cloud kitchen platform,Rajesh,Mistletoe,1000000 ,Seed,,Gurgaon,India
Epigamia,2015.0,Mumbai,FMCG,Flavoured and greek yoghurt brand,Rohan Mirchandani,KA Enterprise,2558000,Series C,,Mumbai,India
StyleNook,2015.0,Mumbai,Ecommerce,Marketplace for fashionable apparel,Lathika Pai,"Lead Angels Network, Stanford Angels",,Seed,,Mumbai,India
Callido Learning,2015.0,Mumbai,Edtech,Provides a structured educational approach to critical thinking and problem solving skills,Sriram Subramanian,Education Catalyst Fund,,Seed,,Mumbai,India
Soxytoes,2015.0,Delhi,Ecommerce,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel network,,Seed,,Delhi,India
F5,2018.0,Delhi,E-market,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,,Seed,,Delhi,India
Paper Boat,2013.0,Bangaluru,Food & Beverages,Ecommerce platform for beverages and snacks,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",4049500 ,Seed,,Bangaluru,India
Strata,2019.0,Bangaluru,Proptech,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000 ,Seed,,Bangaluru,India
Salesken,2015.0,Bangaluru,AI & Data science,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000 ,Series A,,Bangaluru,India
Arya,2015.0,Noida,AgriTech,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,6000000 ,Series B,,Noida,India
Leap Finance,2015.0,Bangaluru,Fintech,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,5500000 ,Seed,,Bangaluru,India
Sleepy Owl,2016.0,Delhi,Beverages,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,,Seed,,Delhi,India
Tricog,2015.0,Bangaluru,Healthtech,Provides virtual cardiology services through its AI-powered healthcare platforms,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000 ,Series B,,Bangaluru,India
GogoBus,2015.0,Delhi,Travel,Inter-City Mobility Startup,Amit Gupta,Ixigo,,Seed,,Delhi,India
Trell,2016.0,Bangaluru,Social e-commerce,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000 ,Pre series A,,Bangaluru,India
Spaciya Consultants,2015.0,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,500000 ,Pre series A,,Noida,India
Bounce,2014.0,Bangaluru,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,6500000 ,Seed,,Bangaluru,India
Neeman,2017.0,Bangaluru,Ecommerce,An eco-conscious footwear brand making comfortable shoes using Merino Wool,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,1000000 ,Pre series A,,Bangaluru,India
Chqbook,2017.0,Gurugram,Fintech,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,5000000 ,Series A,,Gurugram,India
SMEcorner,2014.0,Mumbai,Fintech,Financial lending firm to SMEs,"Bhatia, Sneha Shah",Paragon Partners,30000000 ,Series B,,Mumbai,India
Oda Class,2015.0,Bangaluru,Edtech,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,,Pre series A,,Bangaluru,India
Spinny,2015.0,Haryana,E-tail,Used car retailing platform,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",43700000 ,Series B,,Haryana,India
goStops,2012.0,Delhi,Accomodation,A premium chain of youth hostels catering to the millennials,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,,Seed,,Delhi,India
Umeed Housing,2015.0,Haryana,Fintech,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000 ,Series D,,Haryana,India
Vogo,2016.0,Bangaluru,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,20000000 ,Series C,,Bangaluru,India
Flick Stree,2015.0,Mumbai,AI & Media,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,3000000 ,Series A,,Mumbai,India
Qure ai,2016.0,Mumbai,Healthtech,Provides interpretations of radiology scans,"Prashant Warier, Pooja Rao",Sequoia India,16000000 ,Seed,,Mumbai,India
MinionLabs,2015.0,Bangaluru,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,,Seed,,Bangaluru,India
Josh Talks,2015.0,Haryana,Media,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,1500000 ,Pre series A,,Haryana,India
PhoneParLoan,2015.0,Delhi,Fintech,Provides easy loans,Ringaile Noq,Accelerator MOX,,Seed,,Delhi,India
RailYatri,2011.0,Noida,Travel,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation",13800000 ,Seed,,Noida,India
AjnaLens,2014.0,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000 ,Pre series A,,Thane,India
Pepper,2017.0,Mumbai,Content Marktplace,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",306900 ,Seed funding,,Mumbai,India
Rupeek,2015.0,Bangaluru,Fintech,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000 ,Seed,,Bangaluru,India
